leeyes_id,category,feature_name,baseline_status,decision_status,delivery_status,size,priority_tier,priority_rank,priority_reason,requirement_ids,acceptance_ref,implementation_refs,test_refs,verification_refs,dependencies,risk_notes,updated_at,delivery_ref
LEY-SHELL-014,シェル,タスクトレイ,Partial,Selected,Published,M,P2,12,viewerとwindow lifecycleの共通基盤,REQ-LEY-P2-012,docs/current/requirements.md#leeyes-p2-閲覧中核の受入条件,src-tauri/src/tray.rs;src-tauri/src/lib.rs;src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs;src/features/settings/profile.ts;src/features/settings/SettingsDialog.tsx;src/features/library/client.ts;src/App.tsx,src-tauri/src/tray.rs;src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs;src/features/settings/profile.test.ts;src/App.test.tsx,docs/current/verification.md#leeyes-p2-l-タスクトレイ;Windows tests PASS;Rust canonical PASS;Windows build PASS;CoDD PASS,window lifecycle,終了意味の混同;release通知領域操作は未測定,2026-08-21,SELF
LEY-FILER-001,ファイラ,Desktop起点ツリー,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-FILER-002,ファイラ,書庫をツリー表示,Missing,Selected,Published,L,P4,9,archive virtual path基盤に依存,REQ-LEY-P4-002,requirements.md#REQ-LEY-P4-002,src-tauri/src/application/archive_browser.rs;src-tauri/src/catalog/archive.rs;src/features/navigation/FolderTree.tsx;src/features/archive/ArchiveExplorerDialog.tsx;src/App.tsx,src-tauri/src/application/archive_browser.rs#tests;src-tauri/src/catalog/archive.rs#tests;src/features/navigation/FolderTree.test.tsx;src/features/archive/ArchiveExplorerDialog.test.tsx;src/App.test.tsx,verification.md#leeyes-p4-b-書庫仮想ツリー階層閲覧入れ子書庫,archive index・仮想path,release 50k node FPS・working set未測定,2026-08-21,SELF
LEY-FILER-003,ファイラ,書庫内階層閲覧,Partial,Selected,Published,M,P4,8,archive virtual path基盤,REQ-LEY-P4-002,requirements.md#REQ-LEY-P4-002,src-tauri/src/catalog/archive.rs;src/features/archive/ArchiveExplorerDialog.tsx;src/App.tsx,src-tauri/src/catalog/archive.rs#tests;src/features/archive/ArchiveExplorerDialog.test.tsx;src/App.test.tsx,verification.md#leeyes-p4-b-書庫仮想ツリー階層閲覧入れ子書庫,仮想path,空folder・unsupported fileは非表示,2026-08-21,SELF
LEY-FILER-004,ファイラ,入れ子書庫閲覧,Partial,Selected,Published,L,P4,10,archive virtual pathと既存上限を再利用,REQ-LEY-P4-002,requirements.md#REQ-LEY-P4-002,src-tauri/src/catalog/archive.rs;src-tauri/src/application/archive_browser.rs;src/features/archive/ArchiveExplorerDialog.tsx;src/App.tsx,src-tauri/src/catalog/archive.rs#tests;src-tauri/src/application/archive_browser.rs#tests;src/features/archive/ArchiveExplorerDialog.test.tsx;src/App.test.tsx,verification.md#leeyes-p4-b-書庫仮想ツリー階層閲覧入れ子書庫,書庫基盤,深さ3・64書庫・512MiB temp上限;release RAR・7z・LZH大規模未測定,2026-08-21,SELF
LEY-FILER-005,ファイラ,アドレス移動,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-FILER-006,ファイラ,戻る・進む履歴,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-FILER-007,ファイラ,特殊フォルダ移動,Missing,Selected,Published,S,P1,12,利用頻度が高い独立S機能,REQ-LEY-P1-016,docs/current/requirements.md#leeyes-p1-c-独立s機能の受入条件,src-tauri/src/application/library_root.rs;src-tauri/src/application/mod.rs;src-tauri/src/lib.rs;src/App.tsx;src/features/library/client.ts,src-tauri/src/application/library_root.rs;src/App.test.tsx,docs/current/verification.md#leeyes-p1-c-独立s機能;Windows tests PASS;Rust canonical PASS;Windows build PASS;CoDD PASS,Windows known folders,,2026-08-21,SELF
LEY-FILER-008,ファイラ,親階層へ,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-FILER-009,ファイラ,手動更新,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-FILER-010,ファイラ,自動更新,Missing,Selected,Published,M,P3,6,filesystem watcher基盤,REQ-LEY-P3-005,docs/current/requirements.md#leeyes-p3-操作検索の受入条件,src-tauri/src/application/folder_watch.rs;src-tauri/src/application/mod.rs;src-tauri/src/lib.rs;src/App.tsx;src/features/library/client.ts;src/features/settings/profile.ts;src/features/settings/SettingsDialog.tsx;src-tauri/src/state/repository.rs;src-tauri/Cargo.toml,src-tauri/src/application/folder_watch.rs;src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs;src/App.test.tsx;src/features/library/client.test.ts;src/features/settings/profile.test.ts,docs/current/verification.md#leeyes-p3-f-現在folder自動更新;Windows tests PASS;Rust canonical PASS;Windows build PASS;CoDD PASS,filesystem watcher,event storm;network/removable;release latency/CPU/working set,2026-08-21,SELF
LEY-FILER-011,ファイラ,隠しファイル表示,Missing,Selected,Published,S,P1,13,利用頻度が高い独立S機能,REQ-LEY-P1-017,docs/current/requirements.md#leeyes-p1-c-独立s機能の受入条件,src-tauri/src/catalog/folder.rs;src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs;src/App.tsx;src/features/settings/SettingsDialog.tsx;src/features/settings/profile.ts,src-tauri/src/catalog/folder.rs;src-tauri/src/state/repository.rs;src/App.test.tsx;src/features/settings/profile.test.ts,docs/current/verification.md#leeyes-p1-c-独立s機能;Windows tests PASS;Rust canonical PASS;Windows build PASS;CoDD PASS,platform属性,,2026-08-21,SELF
LEY-FILER-012,ファイラ,未対応ファイル表示,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-FILER-013,ファイラ,書庫サブフォルダ平坦化,Alternative,ReviewAlternative,AlternativeExisting,NA,,,,,,,,,書庫ページ列,path traversal防止,2026-08-20,
LEY-FILER-014,ファイラ,インクリメンタル検索,Missing,Selected,Published,S,P1,14,利用頻度が高い独立S機能,REQ-LEY-P1-018,docs/current/requirements.md#leeyes-p1-c-独立s機能の受入条件,src/features/catalog/CatalogGrid.tsx,src/features/catalog/CatalogGrid.test.tsx,docs/current/verification.md#leeyes-p1-c-独立s機能;Windows tests PASS;Windows build PASS;CoDD PASS,一覧focus,IME実入力は未測定,2026-08-21,SELF
LEY-FILER-015,ファイラ,ツリー詳細動作,Partial,Selected,Published,M,P3,7,既存tree動作のPartialを完成,REQ-LEY-P3-006,docs/current/requirements.md#leeyes-p3-操作検索の受入条件,src-tauri/src/catalog/folder.rs;src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs;src/features/navigation/FolderTree.tsx;src/features/settings/profile.ts;src/features/settings/SettingsDialog.tsx;src/features/library/client.ts;src/App.tsx,src-tauri/src/catalog/folder.rs;src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs;src/features/navigation/FolderTree.test.tsx;src/features/settings/profile.test.ts;src/features/library/client.test.ts;src/App.test.tsx,docs/current/verification.md#leeyes-p3-g-tree詳細動作;Windows tests PASS;Rust canonical PASS;Windows product PASS;Windows build PASS;CoDD PASS,ツリー設定,archive treeはP4へ分離;release remote・DPI・CPU・working set未測定,2026-08-21,SELF
LEY-FILER-016,ファイラ,移動後初期選択,Partial,Selected,Published,S,P1,2,既存navigation上のPartialを先に完成,REQ-LEY-P1-010,docs/current/requirements.md#leeyes-p1-b-既存機能完成の受入条件,src/App.tsx;src/features/settings/SettingsDialog.tsx;src/features/settings/profile.ts;src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs,src/App.test.tsx;src/features/settings/profile.test.ts;src-tauri/src/application/mod.rs,docs/current/verification.md#leeyes-p1-b-既存機能完成;Windows tests PASS;Rust canonical PASS;Windows build PASS, navigation state,,2026-08-21,SELF
LEY-FILER-017,ファイラ,フォルダ・画像を開く規則,Partial,Selected,Published,M,P3,8,共通command registryへ接続,REQ-LEY-P3-007,docs/current/requirements.md#leeyes-p3-操作検索の受入条件,src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs;src/App.tsx;src/features/catalog/CatalogGrid.tsx;src/features/library/client.ts;src/features/settings/SettingsDialog.tsx;src/features/settings/profile.ts,src-tauri/src/application/mod.rs;src/features/catalog/CatalogGrid.test.tsx;src/features/library/client.test.ts;src/features/settings/profile.test.ts;src/App.test.tsx,docs/current/verification.md#leeyes-p3-h-open規則;Windows tests PASS;Rust canonical PASS;Windows build PASS;CoDD PASS,command registry,外部app・書庫treeは別要件;release入力実機・latency未測定,2026-08-21,SELF
LEY-FILER-018,ファイラ,一覧配色,Missing,Selected,Published,S,P1,15,局所的な表示設定,REQ-LEY-P1-019,docs/current/requirements.md#leeyes-p1-c-独立s機能の受入条件,src/styles.css;src/features/catalog/CatalogGrid.tsx;src/features/settings/SettingsDialog.tsx;src/features/settings/profile.ts;src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs,src/features/catalog/CatalogGrid.test.tsx;src/features/settings/profile.test.ts;src/App.test.tsx;src-tauri/src/state/repository.rs,docs/current/verification.md#leeyes-p1-c-独立s機能;Windows tests PASS;Rust canonical PASS;Windows build PASS;CoDD PASS,theme,release contrast目視は未測定,2026-08-21,SELF
LEY-FILER-019,ファイラ,一覧罫線・詳細書式,Partial,Selected,Published,M,P3,9,既存detail listのPartialを完成,REQ-LEY-P3-008,docs/current/requirements.md#leeyes-p3-操作検索の受入条件,src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs;src/App.tsx;src/features/catalog/CatalogGrid.tsx;src/features/catalog/view-mode.ts;src/features/library/client.ts;src/features/settings/SettingsDialog.tsx;src/features/settings/profile.ts;src/styles.css,src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs;src/App.test.tsx;src/features/catalog/CatalogGrid.test.tsx;src/features/library/client.test.ts;src/features/settings/profile.test.ts;tests/test_ui_styles.py,docs/current/verification.md#leeyes-p3-i-詳細一覧書式;Windows tests PASS;Rust canonical PASS;Windows build PASS;CoDD PASS,list layout,accessibility;release DPI・high contrast・font scaling・10k FPS・working set未測定,2026-08-21,SELF
LEY-FILER-020,ファイラ,Explorerシェルメニュー,Alternative,ReviewAlternative,AlternativeExisting,NA,,,,,,,,,既定アプリ・場所表示,shell拡張をプロセス内実行しない,2026-08-20,
LEY-SHELF-001,本棚,名前付き本棚作成,Missing,Selected,Published,L,P4,1,名前付き仮想本棚のDB基盤,REQ-LEY-P4-001,requirements.md#REQ-LEY-P4-001,src-tauri/src/state/shelf.rs;src-tauri/src/application/shelves.rs;src/features/shelves/ShelfDialog.tsx;src/App.tsx,src-tauri/src/state/shelf.rs#tests;src-tauri/src/application/shelves.rs#tests;src/features/shelves/ShelfDialog.test.tsx;src/App.test.tsx,verification.md#leeyes-p4-a-仮想本棚,DB schema・tree UI,release WebView2大規模tree・native drag・保存dialog未測定,2026-08-21,SELF
LEY-SHELF-002,本棚,フォルダ・書庫登録,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SHELF-003,本棚,DnD登録,Missing,Selected,Published,M,P4,3,本棚DB基盤に依存,REQ-LEY-P4-001,requirements.md#REQ-LEY-P4-001,src-tauri/src/application/shelves.rs;src/features/shelves/ShelfDialog.tsx;src/App.tsx,src-tauri/src/application/shelves.rs#tests;src/features/shelves/ShelfDialog.test.tsx,verification.md#leeyes-p4-a-仮想本棚,LEY-SHELF-001,native drag製品操作未測定,2026-08-21,SELF
LEY-SHELF-004,本棚,テキスト入出力,Missing,Selected,Published,M,P4,4,本棚DB基盤に依存,REQ-LEY-P4-001,requirements.md#REQ-LEY-P4-001,src-tauri/src/application/shelves.rs;src/features/shelves/ShelfDialog.tsx,src-tauri/src/application/shelves.rs#tests;src/features/shelves/ShelfDialog.test.tsx;src/features/library/client.test.ts,verification.md#leeyes-p4-a-仮想本棚,LEY-SHELF-001,release保存dialog・実大規模import未測定,2026-08-21,SELF
LEY-SHELF-005,本棚,仮想階層閲覧,Partial,Selected,Published,L,P4,2,本棚DB基盤に依存するPartial,REQ-LEY-P4-001,requirements.md#REQ-LEY-P4-001,src-tauri/src/state/shelf.rs;src-tauri/src/application/shelves.rs;src/features/shelves/ShelfDialog.tsx,src-tauri/src/state/shelf.rs#tests;src-tauri/src/application/shelves.rs#tests;src/features/shelves/ShelfDialog.test.tsx,verification.md#leeyes-p4-a-仮想本棚,LEY-SHELF-001,release WebView2大規模tree FPS・working set未測定,2026-08-21,SELF
LEY-SHELF-006,本棚,登録解除と実体操作の分離,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SHELF-007,本棚,消失登録の整理,Missing,Selected,Published,S,P4,5,本棚DB基盤に依存,REQ-LEY-P4-001,requirements.md#REQ-LEY-P4-001,src-tauri/src/application/shelves.rs;src/features/shelves/ShelfDialog.tsx,src-tauri/src/application/shelves.rs#tests;src/features/shelves/ShelfDialog.test.tsx,verification.md#leeyes-p4-a-仮想本棚,library index,network・removable・offline分類の製品観測未測定,2026-08-21,SELF
LEY-SHELF-008,本棚,起動時本棚,Missing,Selected,Published,S,P4,6,本棚DB基盤に依存,REQ-LEY-P4-001,requirements.md#REQ-LEY-P4-001,src-tauri/src/state/shelf.rs;src-tauri/src/application/shelves.rs;src/App.tsx,src-tauri/src/state/shelf.rs#tests;src/App.test.tsx,verification.md#leeyes-p4-a-仮想本棚,LEY-SHELF-001,release cold start時間未測定,2026-08-21,SELF
LEY-SHELF-009,本棚,本棚並べ替え・独自アイコン,Missing,Selected,Published,M,P4,7,本棚DB基盤に依存,REQ-LEY-P4-001,requirements.md#REQ-LEY-P4-001,src-tauri/src/state/shelf.rs;src-tauri/src/application/shelves.rs;src/features/shelves/ShelfDialog.tsx,src-tauri/src/state/shelf.rs#tests;src-tauri/src/application/shelves.rs#tests;src/features/shelves/ShelfDialog.test.tsx,verification.md#leeyes-p4-a-仮想本棚,LEY-SHELF-001,組込みpresetのみ・任意画像非対応,2026-08-21,SELF
LEY-MEDIA-001,メディア,メディア情報保存,Missing,Selected,NotStarted,XL,P5,1,offline media catalogのDBとscanner基盤,,,,,,DB・scanner,容量・privacy,2026-08-21,
LEY-MEDIA-002,メディア,キャンセル時一括破棄,Missing,Selected,NotStarted,M,P5,2,media catalog transactionに依存,,,,,,LEY-MEDIA-001,transaction,2026-08-21,
LEY-MEDIA-003,メディア,オフライン閲覧,Missing,Selected,NotStarted,L,P5,4,media catalog基盤に依存,,,,,,LEY-MEDIA-001,,2026-08-21,
LEY-MEDIA-004,メディア,メディアサムネイル,Missing,Selected,NotStarted,L,P5,5,media catalogとbounded cacheに依存,,,,,,LEY-MEDIA-001,cache容量・privacy,2026-08-21,
LEY-MEDIA-005,メディア,媒体有無アイコン,Missing,Selected,NotStarted,M,P5,6,media identityとvolume状態に依存,,,,,,LEY-MEDIA-001・volume events,,2026-08-21,
LEY-MEDIA-006,メディア,メディア情報更新,Alternative,ReviewAlternative,AlternativeExisting,NA,,,,,,,,,library rescan,媒体台帳用途は未達,2026-08-20,
LEY-MEDIA-007,メディア,差分確認,Alternative,ReviewAlternative,AlternativeExisting,M,,,,,,,,,LEY-MEDIA-001,snapshot比較が必要,2026-08-20,
LEY-MEDIA-008,メディア,メディア識別規則,Missing,Selected,NotStarted,M,P5,3,media catalog identityに依存,,,,,,LEY-MEDIA-001,volume identity・privacy,2026-08-21,
LEY-MEDIA-009,メディア,メディア独自アイコン,Missing,Selected,NotStarted,S,P5,7,media catalog asset管理に依存,,,,,,LEY-MEDIA-001,asset管理,2026-08-21,
LEY-SEARCH-001,検索,複数ソース横断検索,Partial,Selected,Published,M,P3,4,複数source検索の共通抽象,REQ-LEY-P3-004,docs/current/requirements.md#leeyes-p3-操作検索の受入条件,src-tauri/src/application/mod.rs;src/App.tsx;src/features/library/client.ts,src-tauri/src/application/mod.rs;src/App.test.tsx;src/features/library/client.test.ts,docs/current/verification.md#leeyes-p3-de-複数source複数場所検索;Windows tests PASS;Rust canonical PASS;Windows build PASS;CoDD PASS,source abstraction,canonical重複・結果上限・slow source,2026-08-21,SELF
LEY-SEARCH-002,検索,複数場所指定,Missing,Selected,Published,M,P3,5,複数source検索基盤に依存,REQ-LEY-P3-004,docs/current/requirements.md#leeyes-p3-操作検索の受入条件,src-tauri/src/application/mod.rs;src-tauri/src/lib.rs;src/App.tsx;src/features/library/client.ts,src-tauri/src/application/mod.rs;src/App.test.tsx;src/features/library/client.test.ts,docs/current/verification.md#leeyes-p3-de-複数source複数場所検索;Windows tests PASS;Rust canonical PASS;Windows build PASS;CoDD PASS,LEY-SEARCH-001;path picker,権限境界;GUI picker;removable drive,2026-08-21,SELF
LEY-SEARCH-003,検索,ワイルドカード論理式,Partial,Selected,Published,M,P3,1,query parserを検索とmaskで共有,REQ-LEY-P3-001,docs/current/requirements.md#leeyes-p3-操作検索の受入条件,src-tauri/src/application/search_query.rs;src-tauri/src/application/mod.rs;src/App.tsx;src/styles.css,src-tauri/src/application/search_query.rs;src-tauri/src/application/mod.rs;src/App.test.tsx,docs/current/verification.md#leeyes-p3-a-wildcard論理検索;Windows tests PASS;Rust canonical PASS;Windows build PASS;CoDD PASS;synthetic 10000 basename 83.403ms,query parser,escape・DoS;release実file・最大basename・worst-case wildcard・working set未測定,2026-08-21,SELF
LEY-SEARCH-004,検索,下位階層検索,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SEARCH-005,検索,種別フィルター,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SEARCH-006,検索,検索結果保持,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SEARCH-007,検索,固定検索場所,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SEARCH-008,検索,全ファイルキャッシュ,Alternative,ReviewAlternative,AlternativeExisting,NA,,,,,,,,,persistent library index,,2026-08-20,
LEY-SEARCH-009,検索,キャッシュ保存・破棄,Alternative,ReviewAlternative,AlternativeExisting,NA,,,,,,,,,managed index lifecycle,,2026-08-20,
LEY-SEARCH-010,検索,サイズ条件,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SEARCH-011,検索,日付条件,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SEARCH-012,検索,結果とツリーの並行利用,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SEARCH-013,検索,検索再実行,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-CATALOG-001,一覧,一覧表示,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-CATALOG-002,一覧,詳細表示,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-CATALOG-003,一覧,サムネイル表示,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-CATALOG-004,一覧,ファイラ単位の表示保持,Alternative,ReviewAlternative,AlternativeExisting,S,,,,,,,,,profile view preference,,2026-08-20,
LEY-CATALOG-005,一覧,並べ替え,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-CATALOG-006,一覧,ファイルマスク,Partial,Selected,Published,M,P3,2,共通query parserに依存,REQ-LEY-P3-002,docs/current/requirements.md#leeyes-p3-操作検索の受入条件,src-tauri/src/application/search_query.rs;src-tauri/src/application/mod.rs;src-tauri/src/lib.rs;src/features/library/client.ts;src/App.tsx,src-tauri/src/application/search_query.rs;src-tauri/src/application/mod.rs;src/features/library/client.test.ts;src/App.test.tsx,docs/current/verification.md#leeyes-p3-b-rust共通ファイルマスク;Windows tests PASS;Rust canonical PASS;Windows build PASS;CoDD PASS;synthetic 10000 basename 84.896ms,LEY-SEARCH-003,query model;async stale応答;入力上限;release IPC 100000件性能未測定,2026-08-21,SELF
LEY-CATALOG-007,一覧,マスク詳細条件,Partial,Selected,Published,M,P3,3,catalog mask基盤に依存,REQ-LEY-P3-003,docs/current/requirements.md#leeyes-p3-操作検索の受入条件,src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs;src-tauri/src/state/mod.rs;src-tauri/src/lib.rs;src/features/library/client.ts;src/App.tsx;src/styles.css,src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs;src/features/library/client.test.ts;src/App.test.tsx,docs/current/verification.md#leeyes-p3-c-mask詳細条件保存;Windows tests PASS;Rust canonical PASS;Windows build PASS;CoDD PASS;synthetic 10000 detailed items 104.382ms,LEY-CATALOG-006,saved filters;date境界;SQLite上限;release IPC 100000件性能未測定,2026-08-21,SELF
LEY-CATALOG-008,一覧,画像サムネイル生成,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-CATALOG-009,一覧,フォルダ・書庫表紙,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-CATALOG-010,一覧,サイズ・生成方式,Partial,Selected,Published,S,P1,3,既存thumbnail設定のPartialを先に完成,REQ-LEY-P1-011,docs/current/requirements.md#leeyes-p1-b-既存機能完成の受入条件,src/App.tsx;src/features/settings/SettingsDialog.tsx;src/features/settings/profile.ts;src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs,src/App.test.tsx;src/features/settings/profile.test.ts;src-tauri/src/application/mod.rs,docs/current/verification.md#leeyes-p1-b-既存機能完成;Windows tests PASS;Rust canonical PASS;Windows build PASS,thumbnail cache,cache key,2026-08-21,SELF
LEY-CATALOG-011,一覧,種別アイコン・情報,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-CATALOG-012,一覧,スクロール先行生成,Alternative,ReviewAlternative,AlternativeExisting,NA,,,,,,,,,virtualization・lazy load,memory cap,2026-08-20,
LEY-CATALOG-013,一覧,サムネイル保存方針,Alternative,ReviewAlternative,AlternativeExisting,NA,,,,,,,,,managed cache,privacy,2026-08-20,
LEY-CATALOG-014,一覧,キャッシュ管理,Alternative,ReviewAlternative,AlternativeExisting,S,,,,,,,,,managed cache,cleanup,2026-08-20,
LEY-CATALOG-015,一覧,表示中サムネイル保存,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-CATALOG-016,一覧,再帰一括読込,Missing,Selected,Published,M,P3,10,既存thumbnail pipelineを再利用,REQ-LEY-P3-009,docs/current/requirements.md#leeyes-p3-操作検索の受入条件,src-tauri/src/application/recursive_thumbnails.rs;src-tauri/src/application/coordinator.rs;src-tauri/src/application/mod.rs;src-tauri/src/state/thumbnail.rs;src-tauri/src/lib.rs;src/App.tsx;src/features/library/client.ts;src/styles.css,src-tauri/src/application/recursive_thumbnails.rs;src-tauri/src/application/coordinator.rs;src-tauri/src/application/mod.rs;src-tauri/src/state/thumbnail.rs;src/App.test.tsx;src/features/library/client.test.ts;tests/test_ui_styles.py,docs/current/verification.md#leeyes-p3-j-再帰サムネイル一括生成;Windows tests PASS;Rust canonical PASS;Windows build PASS;CoDD PASS;10000候補 2.2759029s;実thumbnail 3件 104.6683ms,thumbnail pipeline,long task・cancel;release 10k実画像・巨大画像・書庫/PDF混在・slow/removable・CPU・working set・cache eviction未測定,2026-08-21,SELF
LEY-FILE-001,ファイル操作,ファイルダイアログで開く,Partial,Selected,Published,S,P1,4,既存picker経路のPartialを先に完成,REQ-LEY-P1-012,docs/current/requirements.md#leeyes-p1-b-既存機能完成の受入条件,src/App.tsx;src/features/library/client.ts;src-tauri/src/application/library_root.rs;src-tauri/src/application/mod.rs;src-tauri/src/lib.rs,src/App.test.tsx;src-tauri/src/application/library_root.rs,docs/current/verification.md#leeyes-p1-b-既存機能完成;Windows tests PASS;Rust canonical PASS;Windows build PASS,Tauri file picker,file filters,2026-08-21,SELF
LEY-FILE-002,ファイル操作,全画面で開く,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-FILE-003,ファイル操作,スライドショーで開く,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-FILE-004,ファイル操作,Explorer・関連付け起動,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-FILE-005,ファイル操作,外部アプリ登録,Missing,Selected,Published,M,P3,18,安全な外部app allowlist基盤,REQ-LEY-P3-017,docs/current/requirements.md#REQ-LEY-P3-017,src-tauri/src/application/file_operations.rs;src-tauri/src/application/library_root.rs;src-tauri/src/state/repository.rs;src-tauri/src/lib.rs;src/features/catalog/ExternalAppDialog.tsx;src/features/library/client.ts,src-tauri/src/application/file_operations.rs;src-tauri/src/state/repository.rs;src/features/catalog/ExternalAppDialog.test.tsx;src/features/library/client.test.ts,docs/current/verification.md#leeyes-p3-r-外部アプリ登録安全起動履歴; canonical全12 stage PASS; Rust 211+1 PASS; frontend 473 PASS; Python 61 PASS,command allowlist,command injection; native picker選択した.exeだけを登録,2026-08-21,SELF
